,1-Wire/iButton Part Number: DS1923,
1-Wire/iButton Registration Number: C20000002BB97B41,,
Mission in Progress?  true,,
SUTA Mission?  false,,
Waiting for Temperature Alarm?  false,,
Sample Rate:  Every 3600 second(s),,
Mission Start Time:  Thu May 30 11:08:01 CST 2013,,
Mission Sample Count:  503,,
Roll Over Enabled?  true(no rollover occurred),,
First Sample Timestamp:  Thu May 30 11:08:01 CST 2013,,
Total Mission Samples:  503,,
Total Device Samples:  7742,,
Temperature Logging:  0.0625 C,,
Temperature High Alarm:  disabled,,
Temperature Low Alarm:  disabled,,
Data Logging:  0.04 %RH,,
Data High Alarm:  disabled,,
Data Low Alarm:  disabled,,
,,
Date/Time,Unit,Value
06/05/2013 08:08,%RH,78.497
06/05/2013 09:08,%RH,59.172
06/05/2013 10:08,%RH,52.292
06/05/2013 11:08,%RH,52.14
06/05/2013 12:08,%RH,51.683
06/05/2013 13:08,%RH,48.306
06/05/2013 14:08,%RH,65.263
06/05/2013 15:08,%RH,89.664
06/05/2013 16:08,%RH,92.364
06/05/2013 17:08,%RH,92.849
06/05/2013 18:08,%RH,94.894
06/05/2013 19:08,%RH,94.894
06/05/2013 20:08,%RH,95.608
06/05/2013 21:08,%RH,96.673
06/05/2013 22:08,%RH,97.495
06/05/2013 23:08,%RH,97.261
06/06/2013 00:08,%RH,97.612
06/06/2013 01:08,%RH,97.495
06/06/2013 02:08,%RH,97.144
06/06/2013 03:08,%RH,95.964
06/06/2013 04:08,%RH,97.378
06/06/2013 05:08,%RH,96.791
06/06/2013 06:08,%RH,95.964
06/06/2013 07:08,%RH,92.485
06/06/2013 08:08,%RH,83.857
06/06/2013 09:08,%RH,58.287
06/06/2013 10:08,%RH,52.292
06/06/2013 11:08,%RH,53.655
06/06/2013 12:08,%RH,51.988
06/06/2013 13:08,%RH,46.91
06/06/2013 14:08,%RH,62.095
06/06/2013 15:08,%RH,67.111
06/06/2013 16:08,%RH,72.412
06/06/2013 17:08,%RH,85.521
06/06/2013 18:08,%RH,87.92
06/06/2013 19:08,%RH,96.083
06/06/2013 20:08,%RH,97.144
06/06/2013 21:08,%RH,96.555
06/06/2013 22:08,%RH,97.612
06/06/2013 23:08,%RH,97.378
06/07/2013 00:08,%RH,97.963
06/07/2013 01:08,%RH,98.313
06/07/2013 02:08,%RH,98.313
06/07/2013 03:08,%RH,98.313
06/07/2013 04:08,%RH,97.963
06/07/2013 05:08,%RH,98.313
06/07/2013 06:08,%RH,98.661
06/07/2013 07:08,%RH,95.132
06/07/2013 08:08,%RH,79.292
06/07/2013 09:08,%RH,74.055
06/07/2013 10:08,%RH,73.099
06/07/2013 11:08,%RH,66.828
06/07/2013 12:08,%RH,59.466
06/07/2013 13:08,%RH,50.461
06/07/2013 14:08,%RH,48.306
06/07/2013 15:08,%RH,56.357
06/07/2013 16:08,%RH,87.292
06/07/2013 17:08,%RH,88.67
06/07/2013 18:08,%RH,91.755
06/07/2013 19:08,%RH,92.607
06/07/2013 20:08,%RH,93.815
06/07/2013 21:08,%RH,94.774
06/07/2013 22:08,%RH,96.319
06/07/2013 23:08,%RH,95.846
06/08/2013 00:08,%RH,96.437
06/08/2013 01:08,%RH,95.49
06/08/2013 02:08,%RH,95.252
06/08/2013 03:08,%RH,95.132
06/08/2013 04:08,%RH,94.774
06/08/2013 05:08,%RH,96.909
06/08/2013 06:08,%RH,98.08
06/08/2013 07:08,%RH,93.574
06/08/2013 08:08,%RH,77.564
06/08/2013 09:08,%RH,61.514
06/08/2013 10:08,%RH,68.661
06/08/2013 11:08,%RH,57.991
06/08/2013 12:08,%RH,51.073
06/08/2013 13:08,%RH,57.547
06/08/2013 14:08,%RH,65.976
06/08/2013 15:08,%RH,63.541
06/08/2013 16:08,%RH,56.357
06/08/2013 17:08,%RH,69.361
06/08/2013 18:08,%RH,86.662
06/08/2013 19:08,%RH,90.898
06/08/2013 20:08,%RH,92.728
06/08/2013 21:08,%RH,94.176
06/08/2013 22:08,%RH,95.608
06/08/2013 23:08,%RH,97.729
06/09/2013 00:08,%RH,96.791
06/09/2013 01:08,%RH,98.08
06/09/2013 02:08,%RH,99.009
06/09/2013 03:08,%RH,98.196
06/09/2013 04:08,%RH,99.009
06/09/2013 05:08,%RH,99.24
06/09/2013 06:08,%RH,98.777
06/09/2013 07:08,%RH,94.296
06/09/2013 08:08,%RH,81.525
06/09/2013 09:08,%RH,63.541
06/09/2013 10:08,%RH,41.719
06/09/2013 11:08,%RH,41.878
06/09/2013 12:08,%RH,39.322
06/09/2013 13:08,%RH,38.195
06/09/2013 14:08,%RH,38.195
06/09/2013 15:08,%RH,41.4
06/09/2013 16:08,%RH,57.25
06/09/2013 17:08,%RH,55.46
06/09/2013 18:08,%RH,82.696
06/09/2013 19:08,%RH,87.166
06/09/2013 20:08,%RH,87.04
06/09/2013 21:08,%RH,86.029
06/09/2013 22:08,%RH,93.815
06/09/2013 23:08,%RH,93.935
06/10/2013 00:08,%RH,96.083
06/10/2013 01:08,%RH,97.495
06/10/2013 02:08,%RH,97.729
06/10/2013 03:08,%RH,97.144
06/10/2013 04:08,%RH,98.893
06/10/2013 05:08,%RH,99.009
06/10/2013 06:08,%RH,98.777
06/10/2013 07:08,%RH,94.894
06/10/2013 08:08,%RH,71.999
06/10/2013 09:08,%RH,57.547
06/10/2013 10:08,%RH,50.92
06/10/2013 11:08,%RH,45.505
06/10/2013 12:08,%RH,44.721
06/10/2013 13:08,%RH,40.283
06/10/2013 14:08,%RH,42.036
06/10/2013 15:08,%RH,46.91
06/10/2013 16:08,%RH,63.685
06/10/2013 17:08,%RH,79.82
06/10/2013 18:08,%RH,85.266
06/10/2013 19:08,%RH,88.421
06/10/2013 20:08,%RH,93.091
06/10/2013 21:08,%RH,94.056
06/10/2013 22:08,%RH,95.49
06/10/2013 23:08,%RH,96.673
06/11/2013 00:08,%RH,97.846
06/11/2013 01:08,%RH,97.846
06/11/2013 02:08,%RH,97.846
06/11/2013 03:08,%RH,99.009
06/11/2013 04:08,%RH,99.356
06/11/2013 05:08,%RH,99.356
06/11/2013 06:08,%RH,98.777
06/11/2013 07:08,%RH,95.727
06/11/2013 08:08,%RH,79.424
06/11/2013 09:08,%RH,59.76
06/11/2013 10:08,%RH,52.292
06/11/2013 11:08,%RH,42.195
06/11/2013 12:08,%RH,41.082
06/11/2013 13:08,%RH,41.241
06/11/2013 14:08,%RH,40.922
06/11/2013 15:08,%RH,43.619
06/11/2013 16:08,%RH,55.16
06/11/2013 17:08,%RH,70.198
06/11/2013 18:08,%RH,81.003
06/11/2013 19:08,%RH,95.252
06/11/2013 20:08,%RH,97.261
06/11/2013 21:08,%RH,96.437
06/11/2013 22:08,%RH,98.08
06/11/2013 23:08,%RH,97.378
06/12/2013 00:08,%RH,97.963
06/12/2013 01:08,%RH,98.08
06/12/2013 02:08,%RH,97.729
06/12/2013 03:08,%RH,98.08
06/12/2013 04:08,%RH,98.08
06/12/2013 05:08,%RH,98.08
06/12/2013 06:08,%RH,97.144
